Product,Price,Local,Image_url
Costela Janela Tutui Congelada,"59,90/kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/386fp1/costela-janela-tutui-congelada.jpg
Costela Desossada (Flanchet Minga) Resf. Tutui,"49,90/kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/418fp1/costela-desossada-flanchet-minga-resf-tutui.jpg
Costela Janelinha do Traseiro Cong. Tutui,"69,90/kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/419fp1/costela-janelinha-do-traseiro-cong-tutui.jpg
Picanha Leve Cong. Tutui,"149,90 / kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/414fp1/picanha-leve-cong-tutui.jpg
Vazio Tutui Cong.,"89,90 / kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/415fp1/vazio-tutui-cong.jpg
Entrecot Ancho Porcionado Resf. Tutui,"139,90",Gadaria,https://www.gadaria.com.br/fotos/pequena/411fp1/entrecot-ancho-porcionado-resf-tutui.jpg
Costelinha do Dianteiro Cong. Tutui,"79,90",Gadaria,https://www.gadaria.com.br/fotos/pequena/407fp1/costelinha-do-dianteiro-cong-tutui.jpg
Denver Steak Cong. Tutui,"129,90",Gadaria,https://www.gadaria.com.br/fotos/pequena/405fp1/denver-steak-cong-tutui.jpg
Filé Mignon Cong. Tutui,"98,90",Gadaria,https://www.gadaria.com.br/fotos/pequena/404fp1/file-mignon-cong-tutui.jpg
Alcatra (Baby Beef) Tutui CONGELADO,"74,90/kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/395fp1/alcatra-baby-beef-tutui-congelado.jpg
Maminha Tutui Congelada,"99,90/KG",Gadaria,https://www.gadaria.com.br/fotos/pequena/396fp1/maminha-tutui-congelada.jpg
Steak de Chorizo Wagyu Carapreta,"299,90",Gadaria,https://www.gadaria.com.br/fotos/pequena/351fp1/steak-de-chorizo-wagyu-carapreta.jpg
Fraldinha (Entranha Grossa) Tutui Resfriada,"79,90 kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/394fp1/fraldinha-entranha-grossa-tutui-resfriada.jpg
Ancho Angus Carapreta,"95,90/kg",Gadaria,https://www.gadaria.com.br/fotos/pequena/309fp1/ancho-angus-carapreta.jpg
Maminha Tutui Resfriada,"99,90/KG",Gadaria,https://www.gadaria.com.br/fotos/pequena/388fp1/maminha-tutui-resfriada.jpg
Filé Mignon Resf. Tutui,"98,90",Gadaria,https://www.gadaria.com.br/fotos/pequena/387fp1/file-mignon-resf-tutui.jpg
CARNE DE PANELA (STRACOTTO) - , 60.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_11_.png
Carne Moída Intermezzo - , 61.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_11_.png
BANANINHA , 52.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_9_.png
COXÃO MOLE  EM BIFES  - , 68.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_9_.png
CARPACCIO ANGUS - , 136.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/4/5/45_1.png
COXÃO DURO EM BIFES - , 68.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/4/5/45_1.png
Ossobuco ,47.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_69_.png
SHORT RIB ANGUS - ,87.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_69_.png
SHOULDER STEAK BLACK ANGUS , 83.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/4/4/44_1.png
Flank Steak Black Angus , 85.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/4/4/44_1.png
CHUCK STEAK , 88.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_70_.png
Maminha BBQ , 89.00KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_70_.png
Bife do Parrilheiro Black Angus  - , 89.00kg,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/4/6/46_1.png
FLAT IRON BLACK ANGUS - , 139.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/4/6/46_1.png
Rosbife (lagarto) , 59.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/4/0/40_2.png
Strogonoff de filé mignon (Iscas) , 119.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/4/0/40_2.png
PICADINHO DE FILÉ MIGNON , 119.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/6/5/65_1.png
Fraldinha BBQ , 129.00KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/6/5/65_1.png
STEAK DE FILÉ MIGNON - , 129.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_64_.png
COSTELA DO TRASEIRO 3 OU 4 RIPAS - , 45.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_64_.png
Maminha Novilha Angus , 97.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/5/1/51_1.png
PRIME RIB BBQ - , 125.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/5/1/51_1.png
Denver em Tiras , 125.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_12_.png
FLAT IRON , 130.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_12_.png
Medalhão de Filé Mignon ,139.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/6/6/66_1.png
TIBONE  BLACK ANGUS , 189.00 KG ,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/6/6/66_1.png
Bombom de Alcatra BBQ , 107.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_60_.png
ASSADO DE TIRA BLACK ANGUS - , 145.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_60_.png
Assado de Tira BBQ , 128.00KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/3/8/38_2.png
FILE MIGNON CHATEAUBRIAND  , 155.00 KG ,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/3/8/38_2.png
Chorizo BBQ - PEÇA - , 105.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/5/2/52_1.png
DENVER BLACK ANGUS - , 119.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/5/2/52_1.png
TIRA DE CHORIZO PREMIUM , 165.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_14_.png
Assado de Tira Novilha Angus , 145.00 kg,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_14_.png
NEW YORK STEAK BLACK ANGUS EM BIFES - , 169.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/1/5/15_3.png
Chorizo Novilha Angus - PEÇA - , 129. 00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/1/5/15_3.png
PORTERHOUSE  BLACK ANGUS  199.00 kg ,NA,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_13_.png
Ancho BBQ Peça , 136.00KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_13_.png
Ribeye Novilha Angus , 165.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_71_.png
New York Steak  Black Angus - ,175.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/f/o/fotos_novas_site_-_intermezzo_71_.png
Picanha BBQ - ,145.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/6/4/64_2.png
Picanha Novilha Angus , 149.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/6/4/64_2.png
BISTECA FIORENTINA BLACK ANGUS  , 199.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/6/3/63_2.png
Filé Mignon (extra limpo) , 135.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/6/3/63_2.png
RIBEYE BLACK ANGUS , 189.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/4/9/49_1.png
COSTELA JANELA BLACK ANGUS - , 109.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/4/9/49_1.png
COSTELA JANELA BLACK ANGUS - , 109.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/small_image/540x728/9df78eab33525d08d6e5fb8d27136e95/4/2/42_1.png
COSTELA JANELA BLACK ANGUS - , 109.00 KG,Intermezzo,https://intermezzocarnes.com.br/media/catalog/product/cache/1/rotator_image/540x728/9df78eab33525d08d6e5fb8d27136e95/4/2/42_1.png
Bombom de Alcatra | BBQSECRETS, 110.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/bombom-de-alcatra-bbqsecrets1-bb6f8a83a83a4f774915832587350032-240-0.jpg
T-Bone Angus | COWPIG, 119.00 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/tbone-vpj1-2e3b25c1f8de3e30f615924012185004-240-0.jpg
Prime Rib (Congelado) | Cowpig, 149.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/primerib1-9ac279665967dc316b16203909163918-240-0.jpg
Ancho / Entrecot | BBQSECRETS, 136.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/img_73631-98e8afaa096dd032ea15932653235467-240-0.jpg
Ossobuco | VPJ, 66.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/ossobuco1-bbdd8fa1a36fd284fb15924013741590-240-0.jpg
Kit Amigos do Gaspa,270.00,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/whatsapp-image-2021-09-09-at-11-20-20-11-da8faec18f1aca362b16311984727659-240-0.jpeg
"Kit Hamburguer Completo 4 Unid (Blend 160Gr, Cheddar Inglês, Bacon Artesanal, Pão Brioche)", 90.00,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/burger11-eaa7c292ea0d69ce0f15924214253201-240-0.jpg
Linguiça Campeira de Costela Bovina Specialli, 98.00 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/campeira1-f6e364a62c4ed6a91215925121955539-240-0.png
Carne Moída Patinho Angus | VPJ, 77.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/carnemoida11-edd972a9f3f2f2516115924020110985-240-0.jpg
Tiras de Filé Mignon | VPJ, 77.00 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/filetirasvpj1-de7331fcdcfc3cad1115924020633969-240-0.jpg
Fraldinha Red | BBQSECRETS, 146.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/fralda-sec1-91751de1298e2abf5a15918870630472-240-0.jpg
Hambúrguer Blend Angus (2 unidades) de 160g | VPJ, 16.00,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/burger1-eaa7c292ea0d69ce0f15924011191399-240-0.jpg
Assado de Tira Bovino | VPJ, 169.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/assado3331-b23f99fe9623e78c4715929191296774-240-0.jpg
Chorizo | BBQSECRETS, 110.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/chorizo1-7d925b873379f7cfef15832577502722-240-0.jpg
Linguiça Cuiabana Bovina com Queijo Coalho | CANCIAN, 96.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/meatboxmell5212-600x6001-1664b603cd1ee4f8d115851445270059-240-0.jpg
Tomahawk | COWPIG, 139.00 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/tomahawk1-0ac7c9cf8ae919832a15924015275754-240-0.jpg
"Brisket | BBQSECRETS | R$ 57,90/kg", 57.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/mell5326_easy-resize-com1-c4ecab52541e43152b15909426787784-240-0.jpg
Flat Iron | COWPIG, 119.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/flatiron1-a23d363b8a48bf3c7f16203903497241-240-0.jpg
Short Rib | VPJ, 108.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/shortrib-vpj1-06998de30ecc9d81c415924014779759-240-0.jpg
"Bananinha | COWPIG | R$88,90/Kg", 68.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/assets/stores/img/no-photo-240-0.png
Picanha | BBQSECRETS, 179.90 kg,MeatBox,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/093/547/products/picanha1-c325f9697f7d09933515832579496917-240-0.jpg
